Title,URL,Domain
MacRumors: Mac News and Rumors,http://feeds.macrumors.com/MacRumors-All,Technology
Reuters: Business News,http://feeds.reuters.com/reuters/businessNews,Business
Statista,http://www.statista.com/rss.php,Business
"Chemistry News - Biochemistry, Polymers, Materials Science",http://www.physorg.com/rss-feed/chemistry-news/,Science
Top Society News -- ScienceDaily,https://rss.sciencedaily.com/top/society.xml,Society
Adweek,http://feeds.feedburner.com/Adfreak,Marketing
NYT > Real Estate,http://www.nytimes.com/services/xml/rss/nyt/RealEstate.xml,Real Estate
NYT > Books,http://www.nytimes.com/services/xml/rss/nyt/Books.xml,Literature
Science,https://pubmed.ncbi.nlm.nih.gov/rss/journals/0404511/?limit=15&name=Science&utm_campaign=journals,Science
OpenAI News,https://openai.com/feed.xml,Technology
ScienceDaily,http://www.sciencedaily.com/newsfeed.xml,Science
Top Environment News -- ScienceDaily,http://www.sciencedaily.com/rss/top/environment.xml,Environment
TechRadar - All the latest technology news,http://www.techradar.com/rss,Technology
NYT > Most Recent Headlines,http://www.nytimes.com/timeswire/feeds/,News
Inc.com,http://www.inc.com/rss/homepage.xml,Business
NYT > Sports,http://www.nytimes.com/services/xml/rss/nyt/Sports.xml,Sports
Mind & Brain News -- ScienceDaily,http://www.sciencedaily.com/rss/mind_brain.xml,Science
Fast Company - technology,https://www.fastcompany.com/technology/rss,Technology
BBC News technology,https://rsshub.app/bbc/technology,Technology
Ars Technica - All content,http://feeds.arstechnica.com/arstechnica/index/,Technology
Ads of the World,http://adsoftheworld.com/node/feed,Marketing
Hubspot,http://blog.hubspot.com/CMS/UI/Modules/BizBlogger/rss.aspx?tabid=6307&moduleid=8441&maxcount=25,Marketing
Phys.org,http://www.physorg.com/rss-feed/,Science
MarketWatch.com - MarketWatch Breaking News Bulletins,http://feeds.marketwatch.com/marketwatch/bulletins,Business
All Top News -- ScienceDaily,https://www.sciencedaily.com/rss/top/science.xml,Science
"Space News - Space, Astronomy, Space Exploration",http://www.physorg.com/rss-feed/space-news/,Science
Meta,http://blog.facebook.com/atom.php,Technology
Financial Times - Retail & Consumer,http://www.ft.com/rss/companies/retail-consumer,Business
NYT - Politics,http://www.nytimes.com/services/xml/rss/nyt/Politics.xml,Politics
NYT > Arts > Art & Design,http://www.nytimes.com/services/xml/rss/nyt/ArtandDesign.xml,Arts
NYT > Movies,http://www.nytimes.com/services/xml/rss/nyt/Movies.xml,Arts
Social Media Today - Latest News,http://www.socialmediatoday.com/feeds/news/,Social Media
VentureBeat,http://venturebeat.com/feed/,Technology
Yahoo Finance,http://finance.yahoo.com/rss/topstories,Finance
WSJ.com: US Business,https://feeds.a.dj.com/rss/WSJcomUSBusiness.xml,Business
NYT > Arts,http://www.nytimes.com/services/xml/rss/nyt/Arts.xml,Arts
Plants & Animals News -- ScienceDaily,http://www.sciencedaily.com/rss/plants_animals.xml,Science
Financial Times - Oil & Gas industry,http://www.ft.com/rss/companies/oil-gas,Business
MIT Technology Review,http://www.technologyreview.com/rss/rss.aspx,Technology
Resources | ZDNET,"http://www.zdnet.com/search?t=1,7&mode=rss",Technology
Sustainability News -- ScienceDaily,http://www.sciencedaily.com/rss/earth_climate/sustainability.xml,Environment
The Verge,http://www.theverge.com/rss/full.xml,Technology
Investopedia Markets News (all except PF),http://www.investopedia.com/feedbuilder/feed/getFeed?feedName=rss_headline,Finance
Engadget,http://www.engadget.com/rss-full.xml,Technology
AI Alignment Forum,https://www.alignmentforum.org/feed.xml,AI
NYT > Arts > Music,http://www.nytimes.com/services/xml/rss/nyt/Music.xml,Arts
Marketing Solutions Blog,https://feeds.feedblitz.com/linkedinmarketing,Marketing
Content Marketing Institute,http://feeds.feedburner.com/cmi-content-marketing,Marketing
Pew Research Center,http://pewresearch.org/rss.xml,Research
Nature,http://www.nature.com/nature/current_issue/rss,Science
The Drum,http://www.thedrum.com/rss.xml,Marketing
ScienceDaily - Health & Medicine,http://www.sciencedaily.com/rss/health_medicine.xml,Health
The Apple Post,http://www.theapplepost.com/feed/,Technology
Microsoft Security Blog,https://www.microsoft.com/en-us/security/blog/feed/,Technology
Financial Times - Energy,http://www.ft.com/rss/companies/energy,Business
Reuters,https://www.youtube.com/feeds/videos.xml?channel_id=UChqUTb7kYRX8-EiaN3XFrSQ,News
Marketing Land,http://feeds.marketingland.com/mktingland,Marketing
Lodging & Convention Industry News Headlines | Bizjournals.com,http://feeds.bizjournals.com/vertical_62,Business
NYT > Business,http://www.nytimes.com/services/xml/rss/nyt/Business.xml,Business
ScienceDaily - Biotechnology,http://www.sciencedaily.com/rss/plants_animals/biotechnology.xml,Science
Entrepreneur,http://feeds.feedburner.com/entrepreneur/latest,Business
"Space Exploration News - Space News, Space Exploration, Space Science, Earth Sciences",http://www.physorg.com/rss-feed/space-news/space-exploration/,Science
Gizmodo,http://gizmodo.com/index.xml,Technology
ScienceDaily - Agriculture and Food News,http://www.sciencedaily.com/rss/plants_animals/agriculture_and_food.xml,Science
Retail Dive,http://www.retaildive.com/feeds/news/,Business
OpenAI,https://blog.openai.com/rss/,AI
Fast Company,http://feeds.feedburner.com/fastcompany/headlines,Business
"Astronomy News - Space News, Exploration News, Earth Science News, Earth Science",http://www.physorg.com/rss-feed/space-news/astronomy/,Science
TechCrunch,https://techcrunch.com/feed/,Technology
Daily Search Trends,http://www.google.com/trends/hottrends/atom/feed?pn=p1,Trends
"Social Sciences News - Psychology, Sociology",http://www.physorg.com/rss-feed/science-news/social-sciences/,Social Sciences
Global Economy,http://www.ft.com/rss/global-economy,Economy
International homepage,http://www.ft.com/rss/home/us,Business
Social Media Examiner,http://www.socialmediaexaminer.com/feed/,Social Media
Analytics Vidhya,http://feeds.feedburner.com/AnalyticsVidhya,Technology
The Verge - Transpo Posts,http://www.theverge.com/transportation/rss/index.xml,Transportation
Crunchbase News,https://about.crunchbase.com/news/feed/,Business
InsideEVs - Articles,http://insideevs.com/feed/,Automotive
Computers & Math News -- ScienceDaily,http://www.sciencedaily.com/rss/computers_math.xml,Science
The Official Google Blog,http://googleblog.blogspot.com/atom.xml,Technology
Fortune | FORTUNE,https://fortune.com/feed/fortune-feeds/?id=3230629,Business
Glassdoor Blog,http://feeds.feedburner.com/glassdoor,Business
Digital Trends,http://www.digitaltrends.com/feed/,Technology
NYT > Style,http://www.nytimes.com/services/xml/rss/nyt/FashionandStyle.xml,Fashion
Earth & Climate News -- ScienceDaily,http://www.sciencedaily.com/rss/earth_climate.xml,Environment
NYT > Top Stories,http://www.nytimes.com/services/xml/rss/nyt/HomePage.xml,News
Business Insider,http://feeds2.feedburner.com/businessinsider,Business
Buffer Resources,http://blog.bufferapp.com/feed/,Social Media
MacRumors,http://www.macrumors.com/macrumors.xml,Technology
MarketWatch.com - MarketPulse,http://feeds.marketwatch.com/marketwatch/marketpulse/,Business
The Medium Blog - Medium,https://medium.com/feed/the-story,Literature
Futurism,http://www.fromquarkstoquasars.com/feed/,Science
Towards Data Science - Medium,https://towardsdatascience.com/feed,Technology
Big Think - Ideas,http://feeds.feedburner.com/BigThink,Ideas
World Economic Forum,http://www.weforum.org/agenda/feed,Economy
VentureBeat - AI,https://venturebeat.com/category/ai/feed/,AI
TechCrunch - Artificial Intelligence,https://techcrunch.com/tag/artificial-intelligence/feed/,AI
The Verge - AI,https://www.theverge.com/artificial-intelligence/rss/index.xml,AI
AI Trends,https://aitrends.com/feed/,AI
OpenAI Blog,https://openai.com/blog/rss/,AI
Towards Data Science - Artificial Intelligence,https://towardsdatascience.com/feed,AI
NVIDIA Blog - AI,https://blogs.nvidia.com/ai/feed/,AI
AI Weekly,https://aiweekly.co/rss,AI
The AI Alignment Forum,https://www.alignmentforum.org/r/feed.xml,AI
Science Daily - Artificial Intelligence,https://www.sciencedaily.com/rss/topic/artificial-intelligence.xml,AI
Forbes - AI,https://www.forbes.com/technology/artificial-intelligence/feed/,AI
ZDNet - AI,https://www.zdnet.com/topic/artificial-intelligence/feed/,AI
Business Insider - AI,https://www.businessinsider.com/artificial-intelligence/rss,AI
Wired - AI,https://www.wired.com/feed/category/science/ai,AI
Artificial Intelligence on Medium,https://medium.com/tag/artificial-intelligence/rss,AI
AI Magazine,https://www.aaai.org/ojs/index.php/aimagazine/issue/rss,AI
The Next Web - AI,https://thenextweb.com/section/artificial-intelligence/feed,AI
Vox - AI,https://www.vox.com/rss/tag/artificial-intelligence,AI
Analytics Vidhya - AI,https://www.analyticsvidhya.com/feed,AI
Towards Data Science - Natural Language Processing,https://towardsdatascience.com/tagged/natural-language-processing/rss,NLP
AI Trends - NLP,https://aitrends.com/feed/,NLP
Analytics Vidhya - NLP,https://www.analyticsvidhya.com/blog/category/natural-language-processing/feed,NLP
VentureBeat - NLP,https://venturebeat.com/category/nlp/feed/,NLP
NLP News,http://nlpnews.com/rss,NLP
OpenAI Blog,https://openai.com/blog/rss/,NLP
KDnuggets - NLP,https://www.kdnuggets.com/feed,NLP
Data Science Central - NLP,https://www.datasciencecentral.com/profiles/blogs/list/tag/nlp?rss=yes,NLP
IBM Developer - NLP,https://developer.ibm.com/patterns/category/natural-language-processing/feed/,NLP
DeepAI - NLP,https://deepai.org/blog/tag/nlp/feed,NLP
The NLP Lab,http://nlplab.com/feed,NLP
Natural Language Processing at Stanford,https://nlp.stanford.edu/news/rss.xml,NLP
Google AI Blog - NLP,https://ai.googleblog.com/search/label/NLP?max-results=20&alt=rss,NLP
Machine Learning Mastery - NLP,https://machinelearningmastery.com/category/natural-language-processing/feed/,NLP
NLP People,https://nlppeople.com/feed/,NLP
AI Alignment Forum - NLP,https://www.alignmentforum.org/r/nlp.xml,NLP
Natural Language Processing Group,https://www.cs.cmu.edu/~sdsu/nlp/feed.xml,NLP
The Journal of Natural Language Engineering,https://www.springer.com/journal/10579/rss,NLP
ArXiv - Computation and Language,https://arxiv.org/rss/cs.CL,NLP
Kotaku,https://kotaku.com/rss,Gaming
IGN,https://www.ign.com/rss,Gaming
Polygon,https://www.polygon.com/rss/index.xml,Gaming
GameSpot,https://www.gamespot.com/feeds/mashup/,Gaming
Eurogamer,https://www.eurogamer.net/?format=rss,Gaming
PC Gamer,https://www.pcgamer.com/rss/,Gaming
Game Informer,https://www.gameinformer.com/rss/all,Gaming
Destructoid,https://www.destructoid.com/?feed=rss2,Gaming
Game Rant,https://gamerant.com/rss/,Gaming
VentureBeat - Games,https://venturebeat.com/category/games/feed/,Gaming
The Verge - Gaming,https://www.theverge.com/games/rss/index.xml,Gaming
"Rock, Paper, Shotgun",https://www.rockpapershotgun.com/feed,Gaming
GamingBolt,https://gamingbolt.com/feed,Gaming
Digital Trends - Gaming,https://www.digitaltrends.com/video-game-news/feed/,Gaming
N4G,https://n4g.com/rss,Gaming
Gamepressure,https://www.gamepressure.com/rss/,Gaming
Push Square,https://www.pushsquare.com/rss,Gaming
The Escapist,https://www.escapistmagazine.com/rss/,Gaming
GamesRadar,https://www.gamesradar.com/rss/,Gaming
Kotaku UK,https://www.kotaku.co.uk/rss,Gaming
TechCrunch,https://techcrunch.com/feed/,Technology
The Verge,https://www.theverge.com/rss/index.xml,Technology
Wired,https://www.wired.com/feed/rss,Technology
Ars Technica,http://feeds.arstechnica.com/arstechnica/index,Technology
Engadget,https://www.engadget.com/rss.xml,Technology
CNET,https://www.cnet.com/rss/news/,Technology
ZDNet,https://www.zdnet.com/topic/technology/feed/,Technology
VentureBeat,https://venturebeat.com/feed/,Technology
Gizmodo,https://gizmodo.com/rss,Technology
Business Insider - Tech,https://www.businessinsider.com/sai/rss,Technology
MIT Technology Review,https://www.technologyreview.com/feed/,Technology
TechRadar,https://www.techradar.com/rss,Technology
Digital Trends,https://www.digitaltrends.com/feed/,Technology
Recode,https://www.vox.com/rss/recode,Technology
SlashGear,https://www.slashgear.com/feed/,Technology
The Next Web,https://thenextweb.com/feed,Technology
Mashable,https://mashable.com/feed,Technology
TechSpot,https://www.techspot.com/backend/rss.xml,Technology
The Register,https://www.theregister.com/software/rss.xml,Technology
Crunchbase,https://news.crunchbase.com/feed,Technology
HubSpot Blog,https://blog.hubspot.com/feed,Marketing
MarketingProfs,https://www.marketingprofs.com/rss,Marketing
Neil Patel,https://neilpatel.com/blog/rss/,Marketing
Moz Blog,https://moz.com/blog/rss,Marketing
Content Marketing Institute,https://contentmarketinginstitute.com/feed/,Marketing
Social Media Examiner,https://www.socialmediaexaminer.com/feed/,Marketing
Search Engine Journal,https://www.searchenginejournal.com/feed/,Marketing
Sprout Social Blog,https://sproutsocial.com/insights/feed/,Marketing
Marketing Land,https://marketingland.com/feed,Marketing
Convince & Convert,https://www.convinceandconvert.com/feed/,Marketing
Kissmetrics,https://blog.kissmetrics.com/feed,Marketing
Buffer Blog,https://buffer.com/resources/feed,Marketing
CoSchedule,https://coschedule.com/blog/feed,Marketing
SEMrush Blog,https://www.semrush.com/blog/feed/,Marketing
Hootsuite Blog,https://blog.hootsuite.com/feed/,Marketing
Adweek,https://www.adweek.com/feed/,Marketing
Marketing Week,https://www.marketingweek.com/feed/,Marketing
eMarketer,https://www.emarketer.com/feeds/latest.rss,Marketing
Copyblogger,https://copyblogger.com/feed/,Marketing
ClickZ,https://www.clickz.com/feed/,Marketing
Healthline,https://www.healthline.com/rss,Health
WebMD,https://rss.webmd.com/rss/health/,Health
Mayo Clinic,https://newsnetwork.mayoclinic.org/feed/,Health
Medical News Today,https://www.medicalnewstoday.com/rss,Health
Harvard Health Blog,https://www.health.harvard.edu/rss,Health
National Institutes of Health (NIH),https://www.nih.gov/news-events/news-releases/rss,Health
ScienceDaily - Health & Medicine,https://www.sciencedaily.com/rss/health_medicine.xml,Health
MedPage Today's Clinical News,https://www.medpage.com/rss,Health
Health Affairs,https://www.healthaffairs.org/do/10.1377/hblog/rss,Health
CDC News Releases,https://www.cdc.gov/rss/index.html,Health
World Health Organization (WHO),https://www.who.int/rss-feeds/news.xml,Health
The New England Journal of Medicine,https://www.nejm.org/feed,Health
Medscape,https://www.medscape.com/rss/feed,Health
Verywell Health,https://www.verywellhealth.com/rss,Health
Psych Central,https://rss.psychcentral.com/rss,Health
Women's Health Magazine,https://www.womenshealthmag.com/rss,Health
Health.com,https://www.health.com/rss,Health
Nutrition.gov,https://www.nutrition.gov/news/rss,Health
MedlinePlus,https://medlineplus.gov/rssfeeds.html,Health
Global Health Now,https://www.globalhealthnow.org/rss.xml,Health
Bloomberg,https://www.bloomberg.com/feed/podcast/,Finance
CNBC,https://www.cnbc.com/id/19770910/device/rss/rss.html,Finance
Financial Times,https://www.ft.com/rss/home/us,Finance
Reuters,https://www.reuters.com/tools/rss,Finance
MarketWatch,https://www.marketwatch.com/rss,Finance
The Wall Street Journal,https://www.wsj.com/xml/rss/3_7085.xml,Finance
Investopedia,https://www.investopedia.com/rss/,Finance
Yahoo Finance,https://finance.yahoo.com/rss/,Finance
Seeking Alpha,https://seekingalpha.com/feed.xml,Finance
Morningstar,https://www.morningstar.com/rss,Finance
NerdWallet,https://www.nerdwallet.com/feed,Finance
Motley Fool,https://www.fool.com/rss.aspx,Finance
Zero Hedge,https://www.zerohedge.com/rss.xml,Finance
The Economist,https://www.economist.com/finance-and-economics/rss.xml,Finance
Barron's,https://www.barrons.com/rss,Finance
Financial Post,https://business.financialpost.com/feed,Finance
Credit Karma,https://www.creditkarma.com/feed,Finance
The Financial Times - Markets,https://markets.ft.com/rss,Finance
CNBC - Personal Finance,https://www.cnbc.com/personal-finance/rss/,Finance
Kiplinger,https://www.kiplinger.com/rss,Finance
Harvard Business Review,https://hbr.org/rss,Business
Forbes,https://www.forbes.com/most-popular/feed/,Business
Business Insider,https://www.businessinsider.com/rss,Business
Inc.,https://www.inc.com/rss,Business
Fast Company,https://www.fastcompany.com/rss,Business
The Economist,https://www.economist.com/business/rss.xml,Business
Entrepreneur,https://www.entrepreneur.com/rss,Business
CNBC Business,https://www.cnbc.com/business/rss/,Business
Financial Times - Business,https://www.ft.com/business?format=rss,Business
Wall Street Journal - Business,https://www.wsj.com/xml/rss/3_7081.xml,Business
MarketWatch,https://www.marketwatch.com/rss,Business
Business News Daily,https://www.businessnewsdaily.com/feed,Business
Bloomberg Business News,https://www.bloomberg.com/business/feed,Business
Reuters Business,https://www.reuters.com/business/rss,Business
The Verge - Business,https://www.theverge.com/business/rss/index.xml,Business
The Guardian - Business,https://www.theguardian.com/business/rss,Business
